CateringService_Name,Train_No,Service_Type,Menu_Description,Cost
"Jacobson, Chase and Davis",1,Meal,Healthy Grilled Options for Fitness Enthusiasts,23
Glover-Wright,2,Snack,Gourmet Finger Foods for Special Occasions,20
Cortez LLC,15,Snack,Indulge in the Richness of Fine Dining,25
"Gomez, Strickland and Brown",19,Snack,Decadent Chocolate Dessert Delight,8
White and Sons,7,Meal,Indulge in the Richness of Fine Dining,20
Gay-Bell,16,Meal,Healthy Grilled Options for Fitness Enthusiasts,9
Silva-Koch,11,Snack,Hearty and Wholesome Dinner Selection,19
"Gomez, Trujillo and Schaefer",19,Meal,Exquisite Mediterranean Flavors in Every Bite,18
Wright Group,8,Meal,Elevate Your Palate with Culinary Masterpieces,20
Phillips and Sons,14,Meal,Gourmet Finger Foods for Special Occasions,30
"Eaton, Perez and Jones",19,Snack,Elevate Your Palate with Culinary Masterpieces,9
Bryant and Sons,12,Meal,Satisfy Your Cravings with Our Signature Snacks,15
Lopez-Smith,8,Meal,Hearty and Wholesome Dinner Selection,6
Reid-Aguilar,3,Snack,A Symphony of Flavors in Every Course,24
Cox-Hull,1,Meal,Elevate Your Palate with Culinary Masterpieces,19
"Chavez, Yang and King",3,Snack,Gourmet Finger Foods for Special Occasions,19
Perez-Lane,15,Snack,Deliciously Curated Menu for Discerning Tastes,14
"Kaufman, Ford and Hill",14,Meal,A Symphony of Flavors in Every Course,9
Clark LLC,5,Meal,Satisfy Your Cravings with Our Signature Snacks,15
Morris-Davis,2,Meal,Healthy Grilled Options for Fitness Enthusiasts,10
"Butler, Jennings and Russell",13,Meal,Gourmet Finger Foods for Special Occasions,19
Blackwell-Martin,2,Snack,Gourmet Finger Foods for Special Occasions,11
"Campbell, Mccormick and Williamson",7,Meal,Elevate Your Palate with Culinary Masterpieces,17
Price Group,20,Meal,Savory and Satisfying Home-Style Meal,25
Meyers Inc,1,Snack,Healthy Grilled Options for Fitness Enthusiasts,18
"Gonzalez, Henry and Smith",5,Snack,A Symphony of Flavors in Every Course,22
Morrison-Thompson,2,Snack,Elevate Your Palate with Culinary Masterpieces,5
"Johnson, Hughes and Brandt",9,Meal,Innovative and Flavorful Meal Creations,15
"Gomez, Gonzalez and Frost",3,Meal,A Symphony of Flavors in Every Course,23
Martinez-Brown,2,Snack,Gourmet Finger Foods for Special Occasions,13
"Daniel, Wells and Walter",15,Snack,Vegetarian Delight with Fresh Herbs,19
"Hunter, Rodriguez and Mcgrath",2,Meal,Healthy Grilled Options for Fitness Enthusiasts,7
Collins Ltd,15,Meal,Healthy Grilled Options for Fitness Enthusiasts,11
"Strong, Thornton and Patel",8,Meal,A Symphony of Flavors in Every Course,18
