Passenger_ID,Ticket_NO,Booking_Date,Status
2383,1,2023-04-16,Confirmed
9014,2,2023-06-13,Waiting
9485,3,2023-09-22,Confirmed
1745,4,2023-06-24,Waiting
1387,5,2023-05-03,Waiting
5075,6,2023-08-12,Waiting
514,7,2023-07-20,Waiting
2496,8,2023-07-06,Waiting
5157,9,2023-10-12,Waiting
3191,10,2023-10-09,Confirmed
105,11,2023-03-26,Waiting
8589,12,2023-06-17,Confirmed
3177,13,2023-03-25,Waiting
5366,14,2023-02-11,Waiting
1597,15,2023-05-15,Waiting
1749,16,2023-12-18,Confirmed
1094,17,2023-06-29,Confirmed
7793,18,2023-03-04,Confirmed
5948,19,2023-01-24,Confirmed
7298,20,2023-07-29,Waiting
5810,21,2023-10-19,Confirmed
110,22,2023-10-28,Waiting
3674,23,2023-02-12,Confirmed
1659,24,2023-10-20,Waiting
8489,25,2023-02-05,Confirmed
4506,26,2023-02-03,Waiting
3259,27,2023-12-16,Confirmed
1397,28,2023-09-05,Waiting
8339,29,2023-06-21,Confirmed
8845,30,2023-05-18,Waiting
6483,31,2023-11-03,Waiting
1851,32,2023-03-27,Waiting
8564,33,2023-12-27,Waiting
7914,34,2023-02-14,Confirmed
8113,35,2023-02-07,Confirmed
2086,36,2023-03-15,Confirmed
2215,37,2023-11-13,Waiting
9771,38,2023-12-27,Waiting
5122,39,2023-12-03,Confirmed
4854,40,2023-04-23,Confirmed
6177,41,2023-06-06,Confirmed
524,42,2023-04-10,Confirmed
5417,43,2023-02-14,Confirmed
2293,44,2023-07-10,Waiting
7276,45,2023-08-30,Waiting
5396,46,2023-01-08,Waiting
6936,47,2023-08-12,Waiting
7703,48,2023-02-09,Waiting
1026,49,2023-03-09,Waiting
54,50,2023-01-09,Confirmed
6191,51,2023-11-28,Waiting
9510,52,2023-04-22,Waiting
5731,53,2023-01-02,Waiting
8927,54,2023-07-24,Confirmed
1062,55,2023-01-29,Waiting
8426,56,2023-08-23,Waiting
1341,57,2023-08-11,Confirmed
8222,58,2023-03-03,Confirmed
6017,59,2023-12-19,Confirmed
6097,60,2023-11-13,Confirmed
12,61,2023-06-06,Confirmed
3251,62,2023-01-13,Waiting
7042,63,2023-12-13,Confirmed
8319,64,2023-01-03,Confirmed
9217,65,2023-09-03,Confirmed
267,66,2023-12-14,Waiting
3263,67,2023-08-18,Waiting
4239,68,2023-10-31,Waiting
4206,69,2023-04-05,Confirmed
7017,70,2023-12-23,Confirmed
5692,71,2023-05-08,Waiting
4377,72,2023-03-20,Waiting
7852,73,2023-04-01,Waiting
875,74,2023-01-31,Confirmed
2446,75,2023-08-18,Waiting
5333,76,2023-07-12,Waiting
4500,77,2023-04-15,Confirmed
4175,78,2023-07-25,Waiting
9294,79,2023-03-19,Waiting
8538,80,2023-08-16,Waiting
2969,81,2023-11-18,Confirmed
5237,82,2023-12-20,Confirmed
1949,83,2023-01-19,Waiting
438,84,2023-12-08,Waiting
4110,85,2023-08-13,Waiting
5624,86,2023-01-14,Confirmed
