Train_No,Route_ID,Departure_Date,Arrival_Date,Departure_Time,Arrival_Time
20,126,2023-01-06,2023-10-21,03:23:35,08:40:56
19,389,2023-06-16,2023-05-06,20:59:46,12:10:05
13,43,2023-06-30,2023-07-21,23:13:23,19:26:15
1,112,2023-05-17,2023-12-25,05:06:12,23:51:43
9,303,2023-07-18,2023-08-31,05:56:54,23:24:34
13,308,2023-02-20,2023-02-01,23:49:10,10:31:35
20,745,2023-09-28,2023-05-01,11:07:14,12:17:48
12,579,2023-08-26,2023-03-19,20:42:47,14:50:58
10,423,2023-11-12,2023-01-19,07:31:47,05:52:30
11,694,2023-04-29,2023-10-19,04:12:29,17:30:19
7,892,2023-06-03,2023-08-02,08:06:00,19:42:35
5,915,2023-02-27,2023-03-28,14:24:31,12:27:10
20,970,2023-03-01,2023-10-01,20:32:55,09:11:51
18,406,2023-04-03,2023-11-27,00:43:10,06:18:33
7,751,2023-03-12,2023-01-10,14:26:27,15:46:56
14,335,2022-12-30,2023-01-16,14:59:20,01:58:06
12,189,2023-03-26,2023-04-20,11:21:42,21:31:25
10,220,2023-10-30,2023-06-17,06:33:26,18:09:03
9,861,2023-12-05,2023-12-10,19:20:27,19:54:35
8,549,2023-05-10,2023-02-11,13:13:13,19:36:10
13,283,2023-07-19,2023-07-17,13:54:31,20:17:27
15,907,2023-05-27,2023-11-04,11:11:12,22:46:48
16,406,2023-02-08,2023-02-08,01:08:57,09:11:49
11,962,2022-12-30,2023-04-05,03:42:19,07:31:20
15,97,2023-07-06,2023-12-03,06:01:53,03:37:08
16,885,2023-03-25,2023-12-06,15:36:28,08:02:56
6,206,2023-08-28,2023-08-15,22:25:11,21:34:59
10,646,2023-01-26,2023-04-02,13:35:10,23:45:59
17,420,2023-11-28,2023-02-09,14:38:41,03:14:49
14,392,2023-10-26,2023-12-25,18:28:59,21:32:39
11,728,2023-03-12,2023-08-16,23:18:37,19:17:36
4,349,2023-12-13,2023-08-19,01:11:09,06:10:35
6,357,2023-05-28,2023-01-06,17:57:50,06:13:48
12,766,2023-12-13,2023-02-27,02:47:31,04:16:20
2,831,2023-06-28,2023-08-12,05:07:33,03:56:23
15,430,2023-05-12,2023-10-23,04:21:46,08:39:43
18,559,2023-09-12,2023-03-23,05:00:44,06:12:25
18,48,2023-07-10,2023-05-02,13:15:33,20:00:41
5,486,2023-12-06,2023-02-10,08:16:39,02:31:39
2,429,2023-05-20,2023-07-10,12:07:03,01:39:39
8,622,2023-04-07,2023-06-27,11:20:45,15:28:29
3,878,2023-04-18,2023-01-15,02:28:45,18:42:31
18,746,2023-05-06,2023-04-23,04:52:31,16:34:22
18,1000,2023-07-26,2023-08-05,22:42:25,21:46:49
3,913,2023-05-25,2023-03-20,05:16:22,01:41:57
1,862,2023-07-15,2023-08-21,08:05:17,01:20:00
5,815,2023-07-06,2023-12-13,16:43:52,22:16:37
10,376,2023-03-01,2023-01-15,17:18:46,23:37:26
20,857,2023-05-14,2023-04-27,21:17:38,07:24:46
17,650,2023-02-13,2023-12-20,23:40:46,12:55:41
8,419,2023-11-25,2023-07-22,19:17:25,03:49:37
18,903,2023-06-14,2023-07-09,10:10:40,10:04:44
