Ticket_NO,Passenger_ID,Train_No,Ticket_Price
1,9847,5,137
2,5584,16,224
3,3144,3,154
4,8532,1,290
5,5838,12,199
6,6697,1,116
7,2345,10,293
8,6200,11,56
9,4331,9,117
10,5609,12,228
11,4220,12,283
12,1433,9,59
13,6423,10,108
14,9311,17,95
15,1870,12,64
16,1432,8,90
17,5833,9,126
18,4155,2,187
19,1429,11,57
20,8986,14,155
21,7011,9,153
22,3704,14,287
23,3196,6,164
24,7929,13,195
25,290,9,129
26,2168,13,243
27,274,10,280
28,1636,20,132
29,8623,16,276
30,865,12,70
31,6457,11,174
32,222,8,216
33,2137,5,188
34,3641,20,119
35,9260,4,117
36,3153,11,299
37,9535,12,284
38,8775,20,175
39,2048,7,87
40,9808,9,167
41,27,3,286
42,1172,1,233
43,1129,11,243
44,9518,7,154
45,421,14,285
46,327,6,277
47,7603,12,268
48,48,12,72
49,6375,20,285
50,2339,9,80
51,5483,2,84
52,2285,18,227
53,3201,20,251
54,3199,20,94
55,2977,2,180
56,721,17,209
57,18,11,64
58,3004,6,160
59,5230,12,181
60,9867,7,292
61,14,13,50
62,9324,19,156
63,4304,7,270
64,4978,18,104
65,4380,10,289
66,2006,8,124
67,6475,13,258
68,6619,10,102
69,7862,6,224
70,7321,2,252
71,8556,17,126
72,5670,14,114
73,3822,11,155
74,5898,9,129
75,4322,6,148
76,4960,10,261
77,4548,1,245
78,9084,9,120
79,2945,12,282
80,4817,3,64
81,3593,13,264
82,2748,10,271
83,2029,19,145
84,7714,10,294
85,9651,8,68
86,485,7,236
87,6344,2,192
88,4346,14,209
89,9176,19,235
90,3345,19,135
91,1224,18,250
92,5893,13,274
93,7642,6,247
94,4251,7,53
95,374,11,254
96,9941,10,246
97,3260,5,155
98,8545,5,57
99,8392,11,272
100,186,11,173
101,8268,12,255
102,5729,8,57
103,5249,7,101
104,120,12,235
105,5033,3,143
106,3726,12,87
107,5108,10,210
108,2684,17,211
109,9401,10,260
110,5531,19,142
111,6735,9,140
112,2812,9,198
113,6667,5,258
114,2929,7,182
115,3854,4,217
116,388,2,299
117,9170,12,71
118,6286,18,99
119,9734,10,175
120,3297,7,168
121,5329,16,268
122,2859,10,235
123,2762,16,76
124,8604,17,244
125,8162,20,141
126,619,16,54
127,7581,13,218
128,1887,14,214
129,7553,8,238
130,5148,9,93
131,484,6,91
132,6986,10,275
133,1098,1,62
134,1166,1,234
135,2873,5,85
136,2004,15,125
137,2384,11,108
138,2685,16,64
139,8054,4,158
140,9051,8,207
141,7272,1,251
142,2078,15,168
143,9914,9,216
144,2410,4,285
145,4379,14,205
146,8219,17,293
147,5049,8,185
148,3942,2,57
149,2777,19,194
150,3509,18,240
151,9699,17,234
152,1430,8,195
153,1328,4,68
154,3873,20,156
155,5006,17,106
156,3056,2,219
157,1998,10,227
158,1107,3,191
159,323,8,79
160,1356,16,171
161,4826,14,59
162,7000,6,206
163,857,5,258
164,2594,5,165
165,4058,3,290
166,2409,1,155
167,2289,6,257
168,4068,7,195
169,2668,17,73
170,2910,1,185
171,9641,3,153
172,6984,12,288
173,8553,11,289
174,2261,8,183
175,4969,15,65
176,4693,9,168
177,703,8,268
178,401,11,145
179,6447,18,261
180,5885,10,217
181,288,8,55
182,3476,17,294
183,889,12,169
184,4780,11,141
185,9951,20,216
186,7510,12,92
187,7277,4,267
188,7664,6,228
189,1940,20,230
190,4319,16,197
191,5535,2,106
192,7127,2,202
193,6812,10,284
194,7588,16,112
195,8909,19,207
196,1734,20,85
197,5705,1,179
198,7664,15,78
199,2532,15,123
200,6885,13,282
201,193,6,279
202,9670,6,286
203,9341,2,283
204,8744,15,295
205,6893,6,224
206,8558,5,117
207,4980,4,53
208,7538,8,282
209,2125,18,237
210,553,2,218
211,5292,7,155
212,6889,10,118
213,4932,8,150
214,4220,5,181
215,8537,14,83
216,297,8,196
217,6542,17,119
218,2636,6,196
219,1714,16,159
220,3665,14,241
221,950,15,132
222,6382,20,85
223,1549,8,219
224,8309,3,157
225,9912,1,65
226,8247,10,174
227,5259,17,136
228,2686,10,66
229,5425,13,68
230,5800,19,299
231,6692,17,126
232,2293,3,251
233,1773,19,119
234,716,2,161
235,3565,1,207
236,5805,4,193
237,3131,19,58
238,2208,14,101
239,3686,19,257
240,1332,9,178
241,6387,8,274
242,1466,10,146
243,1321,10,257
244,6994,14,256
245,866,8,234
246,482,2,292
247,4601,16,179
248,1873,19,99
249,5485,16,80
250,5880,6,226
251,7481,6,135
252,7825,4,141
253,5115,12,77
254,7351,5,121
255,165,12,106
256,7843,1,245
257,3391,6,80
258,3749,11,300
259,5374,18,300
260,6268,10,286
261,9525,7,153
262,3251,15,243
263,7060,4,63
264,2789,12,218
265,6865,6,142
266,6664,12,154
267,742,5,260
268,6104,15,65
269,9476,18,78
270,5396,20,181
271,2426,16,227
272,111,5,186
273,6254,3,148
274,5785,20,82
275,9540,1,161
276,318,15,183
277,3225,13,185
278,3285,17,284
279,487,12,188
280,2675,19,270
281,1951,3,250
282,9897,13,196
283,3525,13,166
284,6628,7,89
285,8417,4,138
286,2124,1,241
287,9925,13,246
288,6883,18,174
289,6593,15,284
290,7517,16,266
291,9982,10,268
292,8576,2,81
293,3031,19,146
294,6633,3,52
295,7698,19,60
296,8071,1,277
297,6517,14,168
298,768,10,121
299,3524,9,118
300,3537,11,151
301,2656,12,276
302,8460,11,96
303,8441,9,108
304,2168,3,162
305,7044,8,129
306,2130,19,53
307,5453,2,288
308,8243,4,292
309,5039,8,269
310,1775,14,136
311,323,18,205
312,8708,9,174
313,3673,14,236
314,4434,20,149
315,8075,6,218
316,2011,14,210
317,9938,3,201
318,1684,1,251
319,623,3,88
320,5321,9,114
321,2769,8,246
322,3168,4,110
323,9538,19,107
324,6011,3,292
325,2121,8,85
326,1545,18,122
327,8602,20,289
328,9499,18,53
329,4093,8,67
330,8100,18,217
331,6826,13,246
332,7613,10,186
333,4556,6,255
334,2203,14,276
335,7229,20,281
336,9306,8,130
337,7367,20,229
338,4501,8,230
339,9851,7,224
340,3664,7,126
341,437,2,95
342,494,11,203
343,1771,10,213
344,4497,15,244
345,3317,20,253
346,4762,20,246
347,3170,3,197
348,4676,3,260
349,4958,3,154
350,9229,3,112
351,9838,18,57
352,5992,14,240
353,2426,15,131
354,9520,16,107
355,5583,15,136
356,1800,11,88
357,8830,14,236
358,3746,8,61
359,8214,20,237
360,4216,9,197
361,311,14,260
362,1598,16,52
363,8107,9,91
364,8932,12,217
365,9310,2,154
366,7474,16,233
367,9091,13,190
368,6600,9,144
369,3637,2,120
370,7395,5,103
371,3432,9,197
372,2503,2,290
373,9562,8,285
374,3050,4,172
375,5741,12,293
