Train_No,Confirmed,Waiting
1,Yes,No
2,No,No
3,Yes,Yes
4,Yes,No
5,Yes,No
6,No,Yes
7,No,Yes
8,Yes,Yes
9,Yes,No
10,No,No
11,Yes,No
12,Yes,No
13,No,No
14,No,No
15,No,No
16,No,Yes
17,Yes,No
18,No,No
19,No,No
20,Yes,No
21,No,No
22,No,No
23,Yes,Yes
24,Yes,Yes
25,Yes,No
26,Yes,Yes
27,Yes,Yes
28,No,No
29,Yes,No
30,Yes,Yes
31,Yes,No
32,Yes,Yes
33,Yes,No
34,No,Yes
35,No,No
36,Yes,Yes
37,No,No
38,No,No
39,Yes,Yes
40,Yes,No
41,No,No
42,No,No
43,No,No
44,Yes,No
45,Yes,No
46,No,Yes
47,No,Yes
48,Yes,Yes
49,Yes,No
50,Yes,Yes
51,No,No
52,No,Yes
53,No,Yes
54,Yes,No
55,No,Yes
56,Yes,No
57,No,No
58,Yes,No
59,No,No
60,No,Yes
61,No,No
62,Yes,No
63,No,No
64,Yes,Yes
65,No,Yes
66,No,Yes
67,No,Yes
68,No,Yes
69,Yes,Yes
70,Yes,Yes
71,No,Yes
72,No,Yes
73,Yes,Yes
74,No,Yes
75,Yes,Yes
76,No,Yes
77,Yes,No
78,Yes,No
79,Yes,Yes
80,Yes,No
81,No,Yes
82,No,Yes
83,No,No
84,No,Yes
85,Yes,Yes
86,Yes,Yes
87,No,Yes
88,Yes,Yes
89,Yes,Yes
90,No,No
91,No,No
92,No,No
93,Yes,No
94,Yes,Yes
95,No,Yes
96,No,No
97,No,Yes
98,Yes,No
99,No,Yes
100,No,No
101,Yes,No
102,Yes,No
103,Yes,No
104,Yes,No
105,Yes,No
106,Yes,Yes
107,No,No
108,Yes,Yes
109,No,Yes
110,Yes,Yes
111,Yes,No
112,No,No
113,No,Yes
114,Yes,Yes
115,No,Yes
116,Yes,No
117,No,Yes
118,No,No
119,No,Yes
120,No,Yes
121,No,No
122,Yes,No
123,Yes,Yes
124,Yes,No
125,Yes,Yes
126,No,No
127,No,Yes
128,Yes,No
129,Yes,No
130,No,No
131,Yes,No
132,No,No
133,No,No
134,Yes,No
135,No,Yes
136,Yes,Yes
137,Yes,No
138,Yes,No
139,Yes,Yes
140,Yes,Yes
141,Yes,Yes
142,No,Yes
143,No,No
144,No,Yes
145,Yes,Yes
146,Yes,No
147,No,No
148,Yes,No
149,Yes,No
150,Yes,No
151,Yes,Yes
152,Yes,Yes
153,No,Yes
154,No,No
155,No,Yes
156,No,No
157,Yes,Yes
158,No,Yes
159,No,Yes
160,Yes,No
161,No,No
162,No,Yes
163,No,Yes
164,No,No
165,Yes,No
166,No,Yes
167,No,No
168,No,No
