        (1, 3144, 3, 154),
        (2, 2345, 10, 293),
        (3, 4331, 9, 117),
        (4, 4220, 12, 283),
        (5, 1433, 9, 59),
        (6, 1870, 12, 64),
        (7, 1432, 8, 90),
        (8, 4155, 2, 187),
        (9, 1429, 11, 57),
        (10, 3704, 14, 287),
        (11, 3196, 6, 164),
        (12, 290, 9, 129),
        (13, 2168, 13, 243),
        (14, 274, 10, 280),
        (15, 1636, 20, 132),
        (16, 865, 12, 70),
        (17, 222, 8, 216),
        (18, 2137, 5, 188),
        (19, 3641, 20, 119),
        (20, 3153, 11, 299),
        (21, 2048, 7, 87),
        (22, 27, 3, 286),
        (23, 1172, 1, 233),
        (24, 1129, 11, 243),
        (25, 421, 14, 285),
        (26, 327, 6, 277),
        (27, 48, 12, 72),
        (28, 2339, 9, 80),
        (29, 2285, 18, 227),
        (30, 3201, 20, 251),
        (31, 3199, 20, 94),
        (32, 2977, 2, 180),
        (33, 721, 17, 209),
        (34, 18, 11, 64),
        (35, 3004, 6, 160),
        (36, 14, 13, 50),
        (37, 4304, 7, 270),
        (38, 4978, 18, 104),
        (39, 4380, 10, 289),
        (40, 2006, 8, 124),
        (41, 3822, 11, 155),
        (42, 4322, 6, 148),
        (43, 4960, 10, 261),
        (44, 4548, 1, 245),
        (45, 2945, 12, 282),
        (46, 4817, 3, 64),
        (47, 3593, 13, 264),
        (48, 2748, 10, 271),
        (49, 2029, 19, 145),
        (50, 485, 7, 236),
        (51, 4346, 14, 209),
        (52, 3345, 19, 135),
        (53, 1224, 18, 250),
        (54, 4251, 7, 53),
        (55, 374, 11, 254),
        (56, 3260, 5, 155),
        (57, 186, 11, 173),
        (58, 120, 12, 235),
        (59, 3726, 12, 87),
        (60, 2684, 17, 211),
        (61, 2812, 9, 198),
        (62, 2929, 7, 182),
        (63, 3854, 4, 217),
        (64, 388, 2, 299),
        (65, 3297, 7, 168),
        (66, 2859, 10, 235),
        (67, 2762, 16, 76),
        (68, 619, 16, 54),
        (69, 1887, 14, 214),
        (70, 484, 6, 91),
        (71, 1098, 1, 62),
        (72, 1166, 1, 234),
        (73, 2873, 5, 85),
        (74, 2004, 15, 125),
        (75, 2384, 11, 108),
        (76, 2685, 16, 64),
        (77, 2078, 15, 168),
        (78, 2410, 4, 285),
        (79, 4379, 14, 205),
        (80, 3942, 2, 57),
        (81, 2777, 19, 194),
        (82, 3509, 18, 240),
        (83, 1430, 8, 195),
        (84, 1328, 4, 68),
        (85, 3873, 20, 156),
        (86, 3056, 2, 219),
        (87, 1998, 10, 227),
        (88, 1107, 3, 191),
        (89, 323, 8, 79),
        (90, 1356, 16, 171),
        (91, 4826, 14, 59),
        (92, 857, 5, 258),
        (93, 2594, 5, 165),
        (94, 4058, 3, 290),
        (95, 2409, 1, 155),
        (96, 2289, 6, 257),
        (97, 4068, 7, 195),
        (98, 2668, 17, 73),
        (99, 2910, 1, 185),
        (100, 2261, 8, 183),
        (101, 4969, 15, 65),
        (102, 4693, 9, 168),
        (103, 703, 8, 268),
        (104, 401, 11, 145),
        (105, 288, 8, 55),
        (106, 3476, 17, 294),
        (107, 889, 12, 169),
        (108, 4780, 11, 141),
        (109, 1940, 20, 230),
        (110, 4319, 16, 197),
        (111, 1734, 20, 85),
        (112, 2532, 15, 123),
        (113, 193, 6, 279),
        (114, 4980, 4, 53),
        (115, 2125, 18, 237),
        (116, 553, 2, 218),
        (117, 4932, 8, 150),
        (118, 4220, 5, 181),
        (119, 297, 8, 196),
        (120, 2636, 6, 196),
        (121, 1714, 16, 159),
        (122, 3665, 14, 241),
        (123, 950, 15, 132),
        (124, 1549, 8, 219),
        (125, 2686, 10, 66),
        (126, 2293, 3, 251),
        (127, 1773, 19, 119),
        (128, 716, 2, 161),
        (129, 3565, 1, 207),
        (130, 3131, 19, 58),
        (131, 2208, 14, 101),
        (132, 3686, 19, 257),
        (133, 1332, 9, 178),
        (134, 1466, 10, 146),
        (135, 1321, 10, 257),
        (136, 866, 8, 234),
        (137, 482, 2, 292),
        (138, 4601, 16, 179),
        (139, 1873, 19, 99),
        (140, 165, 12, 106),
        (141, 3391, 6, 80),
        (142, 3749, 11, 300),
        (143, 3251, 15, 243),
        (144, 2789, 12, 218),
        (145, 742, 5, 260),
        (146, 2426, 16, 227),
        (147, 111, 5, 186),
        (148, 318, 15, 183),
        (149, 3225, 13, 185),
        (150, 3285, 17, 284),
        (151, 487, 12, 188),
        (152, 2675, 19, 270),
        (153, 1951, 3, 250),
        (154, 3525, 13, 166),
        (155, 2124, 1, 241),
        (156, 3031, 19, 146),
        (157, 768, 10, 121),
        (158, 3524, 9, 118),
        (159, 3537, 11, 151),
        (160, 2656, 12, 276),
        (161, 2168, 3, 162),
        (162, 2130, 19, 53),
        (163, 1775, 14, 136),
        (164, 323, 18, 205),
        (165, 3673, 14, 236),
        (166, 4434, 20, 149),
        (167, 2011, 14, 210),
        (168, 1684, 1, 251),
        (169, 623, 3, 88),
        (170, 2769, 8, 246),
        (171, 3168, 4, 110),
        (172, 2121, 8, 85),
        (173, 1545, 18, 122),
        (174, 4093, 8, 67),
        (175, 4556, 6, 255),
        (176, 2203, 14, 276),
        (177, 4501, 8, 230),
        (178, 3664, 7, 126),
        (179, 437, 2, 95),
        (180, 494, 11, 203),
        (181, 1771, 10, 213),
        (182, 4497, 15, 244),
        (183, 3317, 20, 253),
        (184, 4762, 20, 246),
        (185, 3170, 3, 197),
        (186, 4676, 3, 260),
        (187, 4958, 3, 154),
        (188, 2426, 15, 131),
        (189, 1800, 11, 88),
        (190, 3746, 8, 61),
        (191, 4216, 9, 197),
        (192, 311, 14, 260),
        (193, 1598, 16, 52),
        (194, 3637, 2, 120),
        (195, 3432, 9, 197),
        (196, 2503, 2, 290),
        (197, 3050, 4, 172),
        (198, 4848, 3, 121),
        (199, 2648, 6, 101),
        (200, 1800, 4, 202),
        (201, 3015, 5, 260),
        (202, 4388, 16, 259),
        (203, 3790, 19, 236),
        (204, 4905, 7, 277),
        (205, 1187, 20, 242),
        (206, 1052, 10, 169),
        (207, 2163, 8, 190),
        (208, 2640, 19, 207),
        (209, 3976, 6, 100),
        (210, 3099, 14, 149),
        (211, 3675, 9, 67),
        (212, 1410, 9, 57),
        (213, 4133, 13, 244),
        (214, 4712, 2, 115),
        (215, 475, 7, 149),
        (216, 4900, 1, 218),
        (217, 3856, 19, 87),
        (218, 1882, 18, 205),
        (219, 913, 20, 257),
        (220, 3417, 10, 181),
        (221, 3208, 6, 250),
        (222, 3688, 20, 160),
        (223, 3096, 12, 60),
        (224, 1293, 7, 245),
        (225, 3607, 4, 51),
